id,type,field_size,location,production
1,Soybean,38.02,Central Farm,45086.91
2,Soybean,19.49,Central Farm,48039.96
3,Corn,65.82,South Farm,34564.45
4,Soybean,18.14,West Farm,22804.69
5,Wheat,20.41,West Farm,22302.69
6,Rice,35.86,West Farm,26377.45
7,Soybean,42.79,South Farm,3015.19
8,Rice,2.04,North Farm,44849.92
9,Soybean,51.96,South Farm,10529.5
10,Soybean,47.74,South Farm,4855.49
11,Rice,88.41,Central Farm,7141.39
12,Rice,34.14,East Farm,7302.74
13,Corn,11.31,Central Farm,718.26
14,Soybean,26.59,North Farm,44942.17
15,Rice,2.58,South Farm,27305.72
16,Barley,83.42,West Farm,38798.36
17,Wheat,21.68,South Farm,38947.3
18,Soybean,56.03,East Farm,36927.9
19,Barley,95.05,North Farm,30597.46
20,Rice,54.3,Central Farm,8995.72
21,Rice,20.3,North Farm,26066.31
22,Soybean,62.32,South Farm,40454.79
23,Wheat,91.25,North Farm,32649.72
24,Corn,75.85,Central Farm,25430.79
25,Rice,63.96,East Farm,12204.9
26,Corn,96.75,North Farm,26031.66
27,Barley,22.49,South Farm,38568.67
28,Rice,62.66,Central Farm,7452.65
29,Rice,70.85,South Farm,20765.76
30,Rice,49.51,West Farm,4203.83
31,Corn,24.92,East Farm,39285.72
32,Barley,90.51,East Farm,40937.17
33,Rice,21.34,Central Farm,33192.56
34,Corn,3.82,South Farm,41674.15
35,Wheat,98.47,South Farm,18217.77
36,Barley,18.07,South Farm,44245.55
37,Soybean,2.62,West Farm,34410.37
38,Wheat,36.06,South Farm,24630.62
39,Barley,98.73,Central Farm,44956.17
40,Rice,72.45,North Farm,29093.45
41,Corn,3.91,Central Farm,13664.62
42,Wheat,67.21,South Farm,1430.2
43,Rice,25.39,East Farm,27831.18
44,Soybean,18.89,Central Farm,7414.68
45,Wheat,85.06,East Farm,26764.17
46,Corn,19.57,East Farm,36513.67
47,Wheat,32.69,South Farm,43129.39
48,Corn,30.75,East Farm,35046.93
49,Rice,49.73,North Farm,808.11
50,Wheat,38.19,Central Farm,29141.79
51,Soybean,40.83,North Farm,13684.5
52,Soybean,44.85,South Farm,13201.89
53,Soybean,81.84,West Farm,39584.15
54,Soybean,76.88,South Farm,20157.52
55,Soybean,76.64,North Farm,47324.4
56,Wheat,12.54,North Farm,6237.99
57,Corn,92.18,West Farm,1513.71
58,Barley,16.51,South Farm,33564.67
59,Wheat,60.56,Central Farm,37920.16
60,Soybean,40.82,West Farm,39442.57
61,Barley,39.98,South Farm,32094.52
62,Rice,84.41,North Farm,15799.93
63,Rice,89.24,Central Farm,37907.29
64,Soybean,60.75,West Farm,32585.64
65,Barley,99.2,North Farm,40084.1
66,Wheat,20.5,Central Farm,31280.73
67,Rice,35.53,Central Farm,20595.82
68,Corn,27.97,East Farm,9979.37
69,Corn,29.89,East Farm,34332.13
70,Barley,5.74,North Farm,14926.67
71,Wheat,87.02,West Farm,22229.55
72,Soybean,6.19,West Farm,29007.49
73,Rice,45.34,North Farm,14618.38
74,Rice,58.93,South Farm,39294.73
75,Corn,55.03,East Farm,21573.19
76,Corn,45.73,Central Farm,43556.14
77,Soybean,97.79,Central Farm,15243.89
78,Soybean,59.47,Central Farm,9420.34
79,Corn,82.45,Central Farm,20336.05
80,Wheat,33.04,East Farm,42232.19
81,Soybean,41.69,West Farm,14327.39
82,Barley,32.53,North Farm,20621.19
83,Soybean,61.5,East Farm,21842.41
84,Barley,43.67,West Farm,42063.17
85,Rice,86.48,East Farm,11647.19
86,Soybean,19.19,North Farm,35872.22
87,Rice,73.75,Central Farm,31261.96
88,Corn,48.88,West Farm,3322.92
89,Rice,69.7,North Farm,14293.72
90,Barley,52.7,South Farm,7819.98
91,Soybean,16.67,North Farm,4276.6
92,Rice,25.11,East Farm,11738.34
93,Rice,41.57,North Farm,7563.31
94,Corn,7.22,North Farm,22421.97
95,Rice,86.98,North Farm,40341.63
96,Rice,18.17,West Farm,33356.68
97,Soybean,16.82,South Farm,17417.26
98,Corn,43.97,West Farm,30240.23
99,Corn,28.76,North Farm,46227.25
100,Corn,12.04,North Farm,48627.7
